Jacques Blanchard,
Maria Blanchard,
Jacques-Emile Blanche,
Louis-Gabriel Blanchet,
Beatrice Bland,
Louis Nicolas van Blarenberghe,
Blas de Ledesma,
Edwin Howland Blashfield,
Carl Blechen,
Ross Bleckner,
Eugene Blery,
Douglas Percy Bliss,
Albert Bloch,
Lucienne Bloch,
Martin Bloch,
Benjamin Block,
Abraham Bloemaert,
Jan Frans van Bloemen,
Pieter van Bloemen,
Lancelot Blondeel,
Merry-Joseph Blondel,
Barbara Bloom,
Hyman Bloom,
Pieter de Bloot,
Karl Blossfeldt,
Sandra Blow,
Oscar Bluemner,
Norman Bluhm,
Oscar Bluhm,
Robert Frederick Blum,
Peter Blume,
Ernest Leonard Blumenschein,
David Gilmour Blythe,
Etienne Bobillet,
Boccaccio Boccaccino,
Camillo Boccaccino,
Giovanni Boccati,
Umberto Boccioni,
Mel Bochner,
John Bock,
Arnold Bocklin,
Christoffel Bockstorffer,
Henry John Boddington,
Floriano Bodini,
Karl Bodmer,
Johann Boeckhorst,
Herbert Boeckl,
Sir Joseph Edgar Boehm,
Karl Boehme,
Pieter Boel,
Alighiero e Boetti,
Bram Bogart,
Jakob Bogdany,
Frank M. Boggs,
Skunder Boghossian,
John Bogle,
Walter E. Bohl,
Michael Bohme,
Aaron Bohrod,
Louis-Leopold Boilly,
Alfred Boisseau,
Felix Boisselier,
Jean-Jacques de Boissieu,
Louis-Simon Boizot,
Hannes Bok,
Ferdinand Bol,
Hans Bol,
Giovanni Boldini,
Niccolo Boldrini,
Pedro de Bolduque,
Ilya Bolotowsky,
Boetius Bolswert,
Christian Boltanski,
Giovanni Antonio Boltraffio,
David Bomberg,
Camille Bombois,
Bartolomeo Bon,
Giovanni Bon,
Bon de Boullogne,
Agostino Bonalumi,
Bonanno da Pisa,
Giulio di Antonio Bonasone,
Antonio Bonazza,
Evaristo Boncinelli,
Charles V. Bond,
Marion Bond,
Henry Bone,
Sir Muirhead Bone,
Stephen Bone,
Chesley Bonestell,
Benedetto Bonfigli,
Auguste Bonheur,
Rosa Bonheur,
Paolo Boni,
Gino Bonichi,
Richard Parkes Bonington,
Bonino da Campione,
Pierre Bonnard,
Leon Bonnat,
Pierre Bonnaud,
Jean-Claude Bonnefond,
William Bonnell,
Jonathan Bonner,
Louis-Marin Bonnet,
Francesco Bonsignori,
Lee Bontecou,
Pierre Bontemps,
Monica Bonvicini,
Francois Bonvin,
Chakaia Booker,
Cameron Booth,
Hendrik van der Borcht,
Pieter Van Der Borcht,
Paris Bordone,
Francesco Bordoni,
Paul-Emile Borduas,
The Boread Painter,
Edward Borein,
Francisco Bores Lopez,
Carl Oscar Borg,
Pedro Alexandrino Borges,
Auguste Borget,
Enrica Borghi,
Orazio Borgianni,
Gutzon Borglum,
Solon H. Borglum,
Juan de Borgona,
Victor Borisov-Musatov,
Jonathan Borofsky,
Vladimir Lukich Borovikovskii,
Luis Borrassa,
Eduard Borregaard,
Luigi Borro,
Francesco Borromini,
Anthonie van Borssom,
Johannes Bosboom,
Hieronymus Bosch,
Pieter van den Bosch,
Andrea Boscoli,
Felice Boselli,
Derek Boshier,
Francois-Joseph Bosio,
Richard Bosman,
Homer Boss,
Ambrosius Bosschaert the Elder,
Abraham Bosse,
Giuseppe Bossi,
Fernando Botero,
Andries Both,
Jan Dirksz Both,
Jessie Arms Botke,
Sandro Botticelli,
Francesco Botticini,
Edouard Boubat,
Edme Bouchardon,
Louis Bouche,
Francois Boucher,
Adriaen Frans Boudewyns,
Eugene Boudin,
Samuel Bough,
George Henry Boughton,
Adolphe William Bouguereau,
Elizabeth Gardner Bouguereau,
Gustave Boulanger,
Louis Boulanger,
Susan Seddon Boulet,
Andre-Charles Boulle,
Etienne-Louis Boullee,
Valentin de Boulogne,
Emile Antoine Bourdelle,
Sebastien Bourdon,
Louise Bourgeois,
Margaret Bourke-White,
James Bourne,
Samuel Bourne,
Esaias Boursse,
Dana Boussard,
Louis-Maurice Boutet de Monvel,
Charles Edward Boutibonne,
Charles-Marie Bouton,
Aelbrecht Bouts,
Dieric Bouts the Elder,
Dieric Bouts the Younger,
Antoine Bouvard,
Laurent Joseph Daniel Bouvier,
Harry Bowden,
Paul Bowden,
Harriette Bowdoin,
Ashley Bowen,
Henry Alexander Bowler,
Frank Bowling,
William Bowyer,
Sir William Boxall,
George Price Boyce,
Joanna Boyce,
Emma Minnie Boyd,
Arthur Boyd Jr.,
Arthur Boyd Sr.,
Bob Boyer,
Eleanor Vere Boyle,
Mark Boyle,
John Boyne,
Thomas Shotter Boys,
Olga Boznanska,
Hercules Brabazon Brabazon,
Carlo di Braccesco,
Pietro Bracci,
John Brack,
Robert Brackman,
Felix Bracquemond,
Marie Bracquemond,
William Bradford,
John Bradley,
Martin Bradley,
Dove Bradshaw,
J.W. Bradshaw,
Carolyn Brady,
Mathew Brady,
Henri de Braekeleer,
Stan Brakhage,
Donato Bramante,
Bramantino,
Leonaert Bramer,
Frank Bramley,
Constantin Brancusi,
Federico Brandani,
Robert Brandard,
Giacinto Brandi,
Herbert Brandl,
Bill Brandt,
Marianne Brandt,
Sir Frank William Brangwyn,
Wally Brants,
Georges Braque,
Jacques-Raymond Brascassat,
Brassai,
John Bratby,
Adolphe Braun,
Maurice Braun,
Victor Brauner,
Cecco Bravo,
Claudio Bravo,
Lola Alvarez Bravo,
Alan Bray,
Jan de Bray,
Salomon de Bray,
Yves Brayer,
Ludovico Brea,
Alfred de Breanski Jr.,
Alfred de Breanski Sr.,
Pierre Brebiette,
Victor Brecheret,
John Leslie Breck,
Hugh Henry Breckenridge,
Carl Fredrik von Breda,
Rae Sloan Bredin,
Bartholomeus Breenbergh,
Andrea Bregno,
Antonio Bregno,
George Hendrik Breitner,
Candice Breitz,
Quirijn van Brekelenkam,
Carl Brenders,
Nicolas-Guy Brenet,
Victor David Brenner,
Rodolphe Bresdin,
Louise Breslau,
Andre Breton,
Jules Breton,
John Brett,
Jorg Breu the Elder,
Jorg Breu the Younger,
Marcel Breuer,
Olaf Breuning,
Anna Richards Brewster,
John Brewster Jr.,
Edward Frederick Brewtnall,
Alfred Thompson Bricher,
Fidelia Bridges,
J.C. Bridgewood,
Frederick Arthur Bridgman,
F.H. Brigden,
Henry Perronet Briggs,
Henry Bright,
Paul Bril,
Gustave Brion,
Benedetto Briosco,
Arthur Briscoe,
John Bunyan Bristol,
Karl Briullov,
Jean Broc,
Sir Thomas Brock,
Gerald Leslie Brockhurst,
Louis le Brocquy,
Alexey Brodovitch,
Alexander Brodsky,
Crispin van den Broeck,
Elias van den Broeck,
Melchior Broederlam,
Roger Broer,
Luigi Broggini,
Joseph Broghammer,
Giacomo Brogi,
Brom,
William Bromley,
Richard Brompton,
Agnolo Bronzino,
Marcel Broodthaers,
Alexander Brook,
William Henry Brooke,
Bertram Brooker,
Charles Brooking,
Cora Smalley Brooks,
Erica Brooks,
Henry Jamyn Brooks,
James Brooks,
Nicholas Alden Brooks,
Romaine Brooks,
Sawad Brooks,
Hans Brosamer,
Auguste Brouet,
Robert Brough,
Adriaen Brouwer,
Cecily Brown,
Christopher Brown,
Douglas Brown,
Ford Madox Brown,
Frederick James Brown,
George Loring Brown,
Glenn Brown,
Henry Kirke Brown,
J. Appleton Brown,
Joan Brown,
John George Brown,
John-Lewis Brown,
Lucy Madox Brown,
Mae Bennett Brown,
Mather Brown,
Mike Brown,
Roger Brown,
W.H. Brown,
William Mason Brown,
Archibald Browne,
Belmore Browne,
Byron Browne,
Hablot Knight Browne,
Henriette Browne,
Margaret Fitzhugh Browne,
Matilda Browne,
Syd Browne,
Franklin Brownell,
Colleen Browning,
Jennie Augusta Brownscombe,
Patrick Henry Bruce,
William Blair Bruce,
Klaus von Bruch,
Jan Bruegel the Elder,
Pieter Bruegel the Elder,
Jan Bruegel the Younger,
Pieter Bruegel the Younger,
George M. Bruestle,
Constantino Brumidi,
Filippo Brunelleschi,
Feodor Bruni,
Gunter Brus,
Brusasorci,
George deForest Brush,
Jean Brusselmans,
Barthel Bruyn the Elder,
Bartel Bruyn the Younger,
Theodor de Bry,
Lina Bryans,
Charles Bryant,
The Brygos Painter,
William Brymner,
Emilie Benes Brzezinski,
The Bucci Painter,
Manfred Buchheit,
Frank Buchser,
Adam Buck,
John Buck,
Samuel Buck,
James Buckhouse,
Stephen Buckley,
Christopher Bucklow,
Jonathan Budington,
Karl Albert Buehr,
Daniele Buetti,
Bernard Buffet,
Rembrandt Bugatti,
Giuliano Bugiardini,
Robert Buhler,
Felix-Hilaire Buhot,
Eugene Buland,
Charles Bulfinch,
George Lawrence Bulleid,
Cecil Tremayne Buller,
Angela Bulloch,
Henry William Bunbury,
Kate Elizabeth Bunce,
Louis Bunce,
Edgar Bundy,
Horace Bundy,
Dennis Miller Bunker,
Ken Bunn,
Andrew Fisher Bunner,
Rupert Bunny,
Shiokawa Bunrin,
Bunro,
Donald Bunse,
Elbridge Ayer Burbank,
Hendrick van der Burch,
Pablo Burchard,
Max Burchartz,
Charles Burchfield,
Jacob Burck,
Rudy Burckhardt,
Chris Burden,
Daniel Buren,
William Burges,
Joseph E. Burgess,
Ruth Payne Burgess,
Victor Burgin,
Hans Burgkmair the Elder,
David Burliuk,
Henry Burn,
Eugene Burnand,
Edward Burne-Jones,
Benjamin Burnell,
James Burnet,
John Burnet,
Edward Francis Burney,
Charles Burns,
Jim Burns,
William Partridge Burpee,
George Elbert Burr,
Edward Burra,
Alberto Burri,
Edward Burrill,
Bryson Burroughs,
Margaret Burroughs,
Thomas Burrowes,
Nancy Burson,
Frederic William Burton,
Judith Burton,
Scott Burton,
William Shakespeare Burton,
Edward Burtynsky,
Pol Bury,
Andrea Busati,
Charles Bush,
Jack Bush,
John Bushnell,
Dionigi Bussola,
Jean-Marc Bustamante,
Kendall Buster,
Richard S. Buswell,
Enid Butcher,
Bernardino Jacopi Butinone,
Elizabeth Butler,
James Butler,
Mary Butler,
Reg Butler,
Samuel Butler,
Theodore Butler,
Gail Butt,
Deborah Butterfield,
James E. Buttersworth,
Thomas Buttersworth,
Freeman Butts,
Louis Buvelot,
Willem Buytewech,
James Lee Byars,
William Bygrave,
Jerry Bywaters,
Alexandre Cabanel,
